Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_receipts_sum,continent
ST.INT.RCPT.CD,Palau,PLW,,,,,,63000000.00,60000000.00,68000000.00,78000000.00,76000000.00,76000000.00,94000000.00,109000000.00,117000000.00,131000000.00,156000000.00,148000000.00,123000000.00,,,,1299000000.00,Oceania
ST.INT.RCPT.CD,Panama,PAN,628000000.00,665000000.00,710000000.00,804000000.00,903000000.00,1108000000.00,1425000000.00,1806000000.00,2208000000.00,2280000000.00,2621000000.00,3630000000.00,4585000000.00,5419000000.00,5749000000.00,5754000000.00,6283000000.00,6827000000.00,7139000000.00,7052000000.00,1841000000.00,69437000000.00,North America
ST.INT.RCPT.CD,Papua New Guinea,PNG,,,,4900000.10,7099999.91,9399999.62,3930000.07,4500000.00,3700000.05,,2400000.10,5099999.91,,3700000.05,2799999.95,,1600000.02,15260000.23,4230000.02,,,68620000.00,Oceania
ST.INT.RCPT.CD,Paraguay,PRY,88000000.00,91000000.00,76000000.00,81000000.00,87000000.00,96000000.00,112000000.00,121000000.00,128000000.00,225000000.00,243000000.00,261000000.00,291000000.00,299000000.00,314000000.00,348000000.00,356000000.00,399000000.00,393000000.00,409000000.00,104000000.00,4522000000.00,South America
ST.INT.RCPT.CD,Peru,PER,861000000.00,763000000.00,836000000.00,1023000000.00,1232000000.00,1438000000.00,1775000000.00,2007000000.00,2396000000.00,2440000000.00,2475000000.00,2814000000.00,3074000000.00,3916000000.00,3907000000.00,4140000000.00,4288000000.00,4439000000.00,4505000000.00,4703000000.00,1002000000.00,54034000000.00,South America
ST.INT.RCPT.CD,Philippines,PHL,2334000000.00,2011000000.00,2018000000.00,1821000000.00,2390000000.00,2863000000.00,4051000000.00,5523000000.00,3293000000.00,2916000000.00,3441000000.00,4053000000.00,4963000000.00,5599000000.00,6059000000.00,6414000000.00,6289000000.00,8349000000.00,9715000000.00,11455000000.00,2769000000.00,98326000000.00,Asia
ST.INT.RCPT.CD,Poland,POL,6128000000.00,5121000000.00,4971000000.00,4733000000.00,6521000000.00,7161000000.00,8153000000.00,11729000000.00,12897000000.00,9888000000.00,9875000000.00,11471000000.00,11704000000.00,12242000000.00,12691000000.00,11164000000.00,11922000000.00,13925000000.00,15569000000.00,15712000000.00,8379000000.00,212000000000.00,Europe
ST.INT.RCPT.CD,Portugal,PRT,6029000000.00,6264000000.00,6643000000.00,7687000000.00,8902000000.00,9038000000.00,10487000000.00,12945000000.00,14081000000.00,12357000000.00,12984000000.00,14911000000.00,14578000000.00,16080000000.00,17577000000.00,16007000000.00,17347000000.00,21586000000.00,24366000000.00,24592000000.00,10522000000.00,285000000000.00,Europe
ST.INT.RCPT.CD,Puerto Rico,PRI,2388000000.00,2728000000.00,2486000000.00,2677000000.00,3024000000.00,3239000000.00,3369000000.00,3414000000.00,3535000000.00,3176000000.00,3211000000.00,3143000000.00,3193000000.00,3311000000.00,3439000000.00,3825000000.00,3974000000.00,3868000000.00,3303000000.00,3612000000.00,2921000000.00,67836000000.00,Null
ST.INT.RCPT.CD,Qatar,QAT,,,,,,,,,,,,4463000000.00,7220000000.00,8452000000.00,10576000000.00,12131000000.00,12593000000.00,15757000000.00,15239000000.00,15647000000.00,14318000000.00,116000000000.00,Asia
