Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_arrivals_sum,continent
ST.INT.ARVL,Jamaica,JAM,2230000.00,2117000.00,2131000.00,2483000.00,2515000.00,2615000.00,3016000.00,2880000.00,2859000.00,2753000.00,2832000.00,3077000.00,3306000.00,3274000.00,3504000.00,3692000.00,3837000.00,4276000.00,4319000.00,4233000.00,1329699.95,63278699.95,North America
ST.INT.ARVL,Japan,JPN,4757000.00,4772000.00,5239000.00,5212000.00,6138000.00,6728000.00,7334000.00,8347000.00,8351000.00,6790000.00,8611000.00,6219000.00,8358000.00,10364000.00,13413000.00,19737000.00,24039000.00,28691000.00,31191000.00,31881000.00,4115799.81,250287799.80,Asia
ST.INT.ARVL,Jordan,JOR,2700000.00,3034000.00,4677000.00,4600000.00,5587000.00,5817000.00,6573000.00,6529000.00,7100000.00,7085000.00,8078000.00,6813000.00,6314000.00,5389000.00,5327000.00,4809000.00,4236000.00,4565000.00,4922000.00,5361000.00,1240000.00,110756000.00,Asia
ST.INT.ARVL,Kazakhstan,KAZ,1683000.00,2693000.00,3678000.00,3237000.00,4291000.00,4365000.00,4707000.00,5311000.00,4117000.00,3774000.00,4097000.00,5685000.00,6163000.00,6841000.00,6333000.00,6430000.00,6509000.00,7701000.00,8789000.00,8515000.00,2035000.00,106954000.00,Asia
ST.INT.ARVL,Kenya,KEN,1037000.00,994000.00,1001000.00,1146000.00,1361000.00,1479000.00,1601000.00,1817000.00,1203000.00,1490000.00,1609000.00,1823000.00,1711000.00,1520000.00,1350000.00,1181000.00,1340000.00,1449000.00,2025000.00,2049000.00,,29186000.00,Africa
ST.INT.ARVL,Kiribati,KIR,13400.00,14500.00,119500.00,130100.01,63900.00,50200.00,10800.00,32300.00,,,,,,,8300.00,8200.00,7600.00,7500.00,9000.00,12000.00,,487300.01,Oceania
ST.INT.ARVL,North Korea,PRK,,,,,,,,,,,,,,,,,,,,,,,Asia
ST.INT.ARVL,South Korea,KOR,5322000.00,5147000.00,5347000.00,4753000.00,5818000.00,6023000.00,6155000.00,6448000.00,6891000.00,7818000.00,8798000.00,9795000.00,11140000.00,12176000.00,14202000.00,13232000.00,17242000.00,13336000.00,15347000.00,17503000.00,2519000.00,195012000.00,Asia
ST.INT.ARVL,Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,Null
ST.INT.ARVL,Kuwait,KWT,1944000.00,2072000.00,2316000.00,2602000.00,3056000.00,3474000.00,3899000.00,4482000.00,4736000.00,5088000.00,5208000.00,5574000.00,5729000.00,6217000.00,6528000.00,6941000.00,7055000.00,7407000.00,8508000.00,8565000.00,2161000.00,103562000.00,Asia
ST.INT.ARVL,Kyrgyzstan,KGZ,173000.00,199000.00,183000.00,342000.00,398000.00,319000.00,766000.00,1656000.00,2379000.00,2451000.00,1224000.00,3025000.00,3393000.00,4134000.00,3791000.00,4000000.00,3853000.00,4568000.00,6947000.00,8508000.00,,52309000.00,Asia
ST.INT.ARVL,Laos,LAO,737000.00,674000.00,736000.00,636000.00,895000.00,1095000.00,1215000.00,1624000.00,1737000.00,2008000.00,2513000.00,2724000.00,3330000.00,3779000.00,4159000.00,4684000.00,4239000.00,3869000.00,4186000.00,4791000.00,886400.02,50517400.02,Asia
ST.INT.ARVL,Latvia,LVA,1882000.00,2061000.00,2297000.00,2524000.00,3127000.00,3791000.00,4649000.00,5209000.00,5496000.00,4727000.00,5042000.00,5538000.00,5569000.00,5822000.00,6246000.00,6842000.00,6797000.00,7726000.00,7775000.00,8342000.00,3204000.00,104666000.00,Europe
ST.INT.ARVL,Lebanon,LBN,742000.00,837000.00,956000.00,1016000.00,1278000.00,1140000.00,1063000.00,1017000.00,1333000.00,1844000.00,2168000.00,1655000.00,1366000.00,1274000.00,1355000.00,1518000.00,1688000.00,1857000.00,1964000.00,1936000.00,,28007000.00,Asia
ST.INT.ARVL,Lesotho,LSO,302000.00,295000.00,287000.00,329000.00,304000.00,304000.00,357000.00,300000.00,293000.00,344000.00,426000.00,398000.00,423000.00,433000.00,1079000.00,1082000.00,1196000.00,1137000.00,1173000.00,1142000.00,,11604000.00,Africa
ST.INT.ARVL,Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,Africa
ST.INT.ARVL,Libya,LBY,963000.00,953000.00,858000.00,958000.00,,,125000.00,106000.00,760000.00,,,,,,,,,,,,,4723000.00,Africa
ST.INT.ARVL,Liechtenstein,LIE,61600.00,56500.00,48700.00,49000.00,48500.00,49800.00,54900.00,72800.00,72900.00,66500.00,64300.00,67000.00,62400.00,59600.00,61300.00,56700.00,69100.00,79300.00,85300.00,98100.00,58400.00,1342700.01,Europe
ST.INT.ARVL,Lithuania,LTU,4092000.00,4195000.00,3999000.00,3635000.00,,,,4251000.00,4459000.00,4001000.00,4073000.00,4504000.00,4979000.00,5264000.00,5217000.00,5048000.00,5322000.00,5590000.00,6115000.00,6150000.00,2284000.00,83178000.00,Europe
ST.INT.ARVL,Luxembourg,LUX,852000.00,836000.00,885000.00,867000.00,878000.00,913000.00,908000.00,914000.00,877000.00,847000.00,805000.00,874000.00,950000.00,945000.00,1038000.00,1090000.00,1054000.00,1046000.00,1018000.00,1041000.00,525000.00,19163000.00,Europe
ST.INT.ARVL,"Macao SAR, China",MAC,9162000.00,10279000.00,11531000.00,11888000.00,16673000.00,18711000.00,21998000.00,27003000.00,22933000.00,21753000.00,24965000.00,28002000.00,28082000.00,29325000.00,31526000.00,30715000.00,30950000.00,32611000.00,35804000.00,39406000.00,5897000.00,489214000.00,Null
ST.INT.ARVL,Madagascar,MDG,,,,,,,,,,,,,,,,282000.00,333000.00,285000.00,360000.00,486000.00,87100.00,1833100.00,Africa
ST.INT.ARVL,Malawi,MWI,228000.00,266000.00,383000.00,424000.00,427000.00,438000.00,638000.00,735000.00,742000.00,755000.00,746000.00,767000.00,770000.00,795000.00,819000.00,805000.00,849000.00,837000.00,871000.00,,,12295000.00,Africa
ST.INT.ARVL,Malaysia,MYS,10222000.00,12775000.00,13292000.00,10577000.00,15703000.00,16431000.00,17547000.00,20973000.00,22052000.00,23646000.00,24577000.00,24714000.00,25033000.00,25715000.00,27437000.00,25721000.00,26757000.00,25948000.00,25832000.00,26101000.00,4333000.00,425386000.00,Asia
ST.INT.ARVL,Maldives,MDV,467000.00,461000.00,485000.00,564000.00,617000.00,395000.00,602000.00,676000.00,683000.00,656000.00,792000.00,931000.00,958000.00,1125000.00,1205000.00,1234000.00,1286000.00,1390000.00,1484000.00,1703000.00,555000.00,18269000.00,Asia
ST.INT.ARVL,Mali,MLI,86000.00,89000.00,96000.00,110000.00,113000.00,143000.00,153000.00,164000.00,190000.00,160000.00,169000.00,160000.00,134000.00,142000.00,168000.00,159000.00,173000.00,193000.00,203000.00,217000.00,,3022000.00,Africa
ST.INT.ARVL,Malta,MLT,1387000.00,1439000.00,1483000.00,1512000.00,1428000.00,1484000.00,1521000.00,1723000.00,1832000.00,1608000.00,1815000.00,1916000.00,2007000.00,2013000.00,2162000.00,2383000.00,2592000.00,2944000.00,3232000.00,3519000.00,718000.00,40718000.00,Europe
ST.INT.ARVL,Marshall Islands,MHL,5200.00,5400.00,6000.00,7200.00,9000.00,9200.00,5800.00,7200.00,6000.00,5400.00,4600.00,4600.00,4600.00,,4900.00,6300.00,5400.00,6000.00,6800.00,6100.00,,115700.00,Oceania
ST.INT.ARVL,Mauritania,MRT,30000.00,,,,,,,,,,,,,,,,,,,,,30000.00,Africa
ST.INT.ARVL,Mauritius,MUS,678000.00,675000.00,709000.00,721000.00,739000.00,782000.00,807000.00,933000.00,970000.00,890000.00,956000.00,983000.00,984000.00,1015000.00,1065000.00,1174000.00,1307000.00,1371000.00,1431000.00,1418000.00,316000.00,19924000.00,Africa
ST.INT.ARVL,Mexico,MEX,105673000.00,100718000.00,100153000.00,92330000.00,99250000.00,103146000.00,97701000.00,93582000.00,92948000.00,88044000.00,81953000.00,75732000.00,76749000.00,78100000.00,81042000.00,87129000.00,94853000.00,99349000.00,96497000.00,97406000.00,51128000.00,1893483000.00,North America
ST.INT.ARVL,"Micronesia, Fed. Sts.",FSM,20500.00,15300.00,19100.00,18200.00,19300.00,19000.00,19100.00,21100.00,25700.00,47500.00,44700.00,35400.00,38300.00,42100.00,35400.00,31200.00,29600.00,,19200.00,18000.00,,518700.01,Null
ST.INT.ARVL,Moldova,MDA,18000.00,16000.00,18000.00,21000.00,69000.00,67000.00,63000.00,70000.00,73000.00,60000.00,64000.00,75000.00,89000.00,95600.00,93900.00,94400.00,121000.00,145000.00,160000.00,174000.00,29000.00,1615900.00,Europe
ST.INT.ARVL,Monaco,MCO,300000.00,270000.00,263000.00,235000.00,250000.00,286000.00,313000.00,328000.00,324000.00,265000.00,279000.00,295000.00,292000.00,328000.00,329000.00,331000.00,336000.00,355000.00,347000.00,363000.00,159000.00,6248000.00,Europe
ST.INT.ARVL,Mongolia,MNG,158000.00,192000.00,235000.00,205000.00,305000.00,345000.00,408000.00,455000.00,469000.00,465000.00,557000.00,627000.00,624000.00,515000.00,506000.00,467000.00,471000.00,543000.00,598000.00,637000.00,66900.00,8848900.00,Asia
ST.INT.ARVL,Montenegro,MNE,,,136000.00,142000.00,188000.00,272000.00,378000.00,984000.00,1031000.00,1044000.00,1088000.00,1201000.00,1264000.00,1324000.00,1350000.00,1560000.00,1662000.00,1877000.00,2077000.00,2510000.00,351000.00,20439000.00,Europe
ST.INT.ARVL,Morocco,MAR,4458000.00,4596000.00,4709000.00,5021000.00,5732000.00,6077000.00,6777000.00,7701000.00,8209000.00,8661000.00,9752000.00,9784000.00,9830000.00,10349000.00,10507000.00,10542000.00,10677000.00,11540000.00,12489000.00,13109000.00,2802000.00,173322000.00,Africa
ST.INT.ARVL,Mozambique,MOZ,,404000.00,943000.00,726000.00,711000.00,954000.00,1095000.00,1259000.00,1439000.00,1711000.00,1836000.00,2013000.00,2206000.00,1970000.00,1751000.00,1634000.00,1715000.00,1514000.00,2870000.00,2033000.00,,28784000.00,Africa
ST.INT.ARVL,Myanmar,MMR,416000.00,475000.00,487000.00,597000.00,657000.00,660000.00,630000.00,716000.00,731000.00,763000.00,792000.00,816000.00,1059000.00,2044000.00,3081000.00,4681000.00,2907000.00,3443000.00,3551000.00,4364000.00,903000.00,33773000.00,Asia
ST.INT.ARVL,Namibia,NAM,759000.00,700000.00,799000.00,739000.00,986000.00,856000.00,961000.00,1048000.00,1079000.00,1100000.00,1114000.00,1163000.00,1245000.00,1327000.00,1429000.00,1488000.00,1551000.00,1581000.00,1639000.00,1651000.00,187100.01,23402100.01,Africa
ST.INT.ARVL,Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,Oceania
ST.INT.ARVL,Nepal,NPL,464000.00,361000.00,275000.00,338000.00,385000.00,375000.00,384000.00,527000.00,500000.00,510000.00,603000.00,736000.00,803000.00,798000.00,790000.00,539000.00,753000.00,940000.00,1173000.00,1197000.00,230000.00,12681000.00,Asia
ST.INT.ARVL,Netherlands,NLD,10003000.00,9500000.00,9595000.00,9181000.00,9646000.00,10012000.00,10739000.00,11008000.00,10104000.00,9921000.00,10883000.00,11300000.00,11680000.00,12783000.00,13925000.00,15007000.00,15828000.00,17924000.00,18780000.00,20129000.00,7265000.00,255213000.00,Europe
ST.INT.ARVL,New Caledonia,NCL,110000.00,101000.00,104000.00,102000.00,100000.00,101000.00,100000.00,103000.00,104000.00,99000.00,99000.00,112000.00,112000.00,108000.00,107000.00,114000.00,116000.00,121000.00,120000.00,130000.00,31000.00,2194000.00,Null
ST.INT.ARVL,New Zealand,NZL,1787000.00,1909000.00,2045000.00,2104000.00,2334000.00,2366000.00,2409000.00,2455000.00,2483000.00,2473000.00,2530000.00,2617000.00,2574000.00,2710000.00,2854000.00,3129000.00,3494000.00,3723000.00,3858000.00,3888000.00,996000.00,54738000.00,Oceania
ST.INT.ARVL,Nicaragua,NIC,581000.00,584000.00,579000.00,646000.00,735000.00,804000.00,891000.00,978000.00,1011000.00,1010000.00,1071000.00,1122000.00,1233000.00,1273000.00,1390000.00,1456000.00,1596000.00,1958000.00,1412000.00,1455000.00,474000.00,22259000.00,North America
ST.INT.ARVL,Niger,NER,50000.00,52000.00,39000.00,55000.00,57000.00,58000.00,60000.00,48000.00,73000.00,66000.00,74000.00,82000.00,94000.00,123000.00,135000.00,135000.00,152000.00,164000.00,157000.00,192000.00,85000.00,1951000.00,Africa
ST.INT.ARVL,Nigeria,NGA,1492000.00,1753000.00,2046000.00,2253000.00,2646000.00,2778000.00,3056000.00,5239000.00,5820000.00,6053000.00,6113000.00,3765000.00,4673000.00,4038000.00,4803000.00,6017000.00,5265000.00,,,,,67810000.00,Africa
ST.INT.ARVL,North Macedonia,MKD,224000.00,99000.00,123000.00,158000.00,165000.00,197000.00,202000.00,230000.00,255000.00,259000.00,262000.00,327000.00,351000.00,400000.00,425000.00,486000.00,510000.00,631000.00,707000.00,758000.00,118000.00,6887000.00,Null
ST.INT.ARVL,Northern Mariana Islands,MNP,529000.00,444000.00,476000.00,459000.00,536000.00,507000.00,436000.00,389000.00,397000.00,354000.00,379000.00,341000.00,401000.00,439000.00,460000.00,479000.00,531000.00,660000.00,518000.00,487000.00,,9222000.00,Null
ST.INT.ARVL,Norway,NOR,3104000.00,3073000.00,3111000.00,3269000.00,3628000.00,3824000.00,4070000.00,4377000.00,4347000.00,4346000.00,4767000.00,4963000.00,4538000.00,4778000.00,4855000.00,5361000.00,5960000.00,6252000.00,5688000.00,5879000.00,1397000.00,91587000.00,Europe
ST.INT.ARVL,Oman,OMN,,1095000.00,1112000.00,1210000.00,1407000.00,1101000.00,1385000.00,1360000.00,1540000.00,1584000.00,1500000.00,1393000.00,1714000.00,1923000.00,2225000.00,2634000.00,3207000.00,3178000.00,3242000.00,3506000.00,869000.00,37185000.00,Asia
ST.INT.ARVL,Pakistan,PAK,557000.00,500000.00,498000.00,501000.00,648000.00,798000.00,898000.00,840000.00,823000.00,855000.00,907000.00,1161000.00,966000.00,,,,,,,,,9952000.00,Asia
ST.INT.ARVL,Palau,PLW,58000.00,54000.00,59000.00,63000.00,89000.00,81000.00,82000.00,88000.00,81000.00,71000.00,85000.00,111000.00,120000.00,108000.00,140000.00,162000.00,138000.00,123000.00,106000.00,94000.00,18400.00,1931400.00,Oceania
ST.INT.ARVL,Panama,PAN,600000.00,737000.00,800000.00,897000.00,1004000.00,1070000.00,1215000.00,1428000.00,1575000.00,1562000.00,1726000.00,2004000.00,2086000.00,2202000.00,2305000.00,2553000.00,2379000.00,2517000.00,2487000.00,2494000.00,647000.00,34288000.00,North America
ST.INT.ARVL,Papua New Guinea,PNG,,,,,,,,,120000.00,126000.00,146000.00,165000.00,175000.00,182000.00,191000.00,199000.00,198000.00,182000.00,195000.00,211000.00,39000.00,2129000.00,Oceania
ST.INT.ARVL,Paraguay,PRY,3924000.00,3550000.00,3194000.00,2859000.00,2589000.00,2648000.00,2830000.00,3005000.00,3118000.00,3183000.00,3171000.00,3365000.00,3655000.00,3538000.00,3455000.00,4102000.00,4318000.00,4744000.00,4183000.00,4368000.00,1077000.00,70876000.00,South America
ST.INT.ARVL,Peru,PER,,,,,1650000.00,1938000.00,2227000.00,2451000.00,2581000.00,2681000.00,2948000.00,3299000.00,3642000.00,4010000.00,4062000.00,4381000.00,4718000.00,4992000.00,5384000.00,5275000.00,1119000.00,57358000.00,South America
ST.INT.ARVL,Philippines,PHL,1992000.00,1797000.00,1933000.00,1907000.00,2291000.00,2623000.00,2843000.00,3092000.00,3139000.00,3017000.00,3520000.00,3917000.00,4273000.00,4681000.00,4833000.00,5361000.00,5967000.00,6621000.00,7168000.00,8261000.00,1483000.00,80719000.00,Asia
ST.INT.ARVL,Poland,POL,84515000.00,61431000.00,50735000.00,52130000.00,61918000.00,64606000.00,65115000.00,66208000.00,59935000.00,53840000.00,58340000.00,60745000.00,67390000.00,72310000.00,73750000.00,77743000.00,80476000.00,83804000.00,85946000.00,88515000.00,,1369452000.00,Europe
ST.INT.ARVL,Portugal,PRT,12097000.00,12167000.00,11644000.00,11707000.00,10639000.00,10612000.00,11282000.00,6788000.00,6962000.00,6439000.00,6756000.00,7264000.00,7503000.00,9177000.00,10497000.00,11723000.00,13359000.00,15432000.00,16186000.00,17283000.00,4208000.00,219725000.00,Europe
ST.INT.ARVL,Puerto Rico,PRI,4566000.00,4908000.00,4364000.00,4402000.00,4889000.00,5073000.00,5022000.00,5062000.00,5213000.00,4415000.00,4379000.00,4214000.00,4197000.00,4210000.00,4456000.00,5051000.00,5003000.00,4927000.00,4260000.00,4931000.00,3882000.00,97424000.00,Null
ST.INT.ARVL,Qatar,QAT,,,,,,,,,,1482000.00,1700000.00,2057000.00,2324000.00,2612000.00,2839000.00,2941000.00,2938000.00,2256000.00,1819000.00,2136500.00,582000.00,25686500.00,Asia
ST.INT.ARVL,Romania,ROU,5264000.00,4938000.00,4794000.00,5595000.00,6600000.00,5839000.00,6037000.00,7722000.00,8862000.00,7575000.00,7498000.00,7611000.00,7937000.00,8019000.00,8442000.00,9331000.00,10223000.00,10926000.00,11720000.00,12815000.00,5023000.00,162771000.00,Europe
ST.INT.ARVL,Russia,RUS,21169000.00,21595000.00,23309000.00,22521000.00,22064000.00,22201000.00,22486000.00,22909000.00,23676000.00,21339000.00,22281000.00,24932000.00,28177000.00,30792000.00,32421000.00,33729000.00,24571000.00,24390000.00,24551000.00,24419000.00,6359000.00,499891000.00,Asia
ST.INT.ARVL,Rwanda,RWA,,,,,,,531000.00,610000.00,669000.00,664000.00,667000.00,908000.00,1061000.00,1122000.00,1220000.00,1298000.00,1377000.00,1570000.00,1711000.00,1634000.00,,15042000.00,Africa
ST.INT.ARVL,Samoa,WSM,,,,,,,116000.00,122000.00,122000.00,129000.00,130000.00,128000.00,135000.00,125000.00,132000.00,139000.00,146000.00,158000.00,172000.00,181000.00,23900.00,1958900.00,Oceania
ST.INT.ARVL,San Marino,SMR,3071000.00,3036000.00,3102000.00,2882000.00,2812000.00,2107000.00,2136000.00,2164000.00,2112000.00,2056000.00,1976000.00,2038000.00,1869000.00,1905000.00,2004000.00,1888000.00,2000000.00,1937000.00,1874000.00,1904000.00,,44873000.00,Europe
ST.INT.ARVL,Sao Tome and Principe,STP,7100.00,7500.00,9200.00,10000.00,10600.00,15800.00,12300.00,11800.00,14500.00,15200.00,8000.00,12200.00,,,,25600.00,28900.00,28900.00,33400.00,,,251000.00,Africa
ST.INT.ARVL,Saudi Arabia,SAU,,,,,11083000.00,10417000.00,10962000.00,13479000.00,17717000.00,13319000.00,13025000.00,15776000.00,19847000.00,19934000.00,23010000.00,21834000.00,20887000.00,18607000.00,17570000.00,20292000.00,,267759000.00,Asia
ST.INT.ARVL,Senegal,SEN,,,,502000.00,677000.00,779000.00,876000.00,879000.00,877000.00,815000.00,906000.00,977000.00,967000.00,1069000.00,976000.00,1014000.00,1219000.00,1376000.00,,,,13909000.00,Africa
ST.INT.ARVL,Serbia,SRB,,,312000.00,339000.00,392000.00,453000.00,469000.00,696000.00,646000.00,645000.00,683000.00,764000.00,810000.00,922000.00,1029000.00,1132000.00,1281000.00,1497000.00,1711000.00,1847000.00,446000.00,16074000.00,Europe
ST.INT.ARVL,Seychelles,SYC,140000.00,138000.00,135000.00,127000.00,126000.00,135000.00,151000.00,171000.00,173000.00,178000.00,191000.00,210000.00,216000.00,237000.00,239000.00,296000.00,333000.00,382000.00,405000.00,428000.00,124500.00,4535500.00,Africa
ST.INT.ARVL,Sierra Leone,SLE,,,,,,,,,,,,,75000.00,95000.00,53000.00,31000.00,60000.00,59000.00,66000.00,71000.00,,510000.00,Africa
ST.INT.ARVL,Singapore,SGP,7691000.00,7522000.00,7567000.00,6127000.00,8329000.00,8943000.00,9751000.00,10285000.00,10116000.00,9683000.00,11642000.00,13171000.00,14496000.00,15568000.00,15095000.00,15231500.00,16403000.00,17425000.00,18508000.00,19116000.00,2742000.00,245411500.00,Asia
ST.INT.ARVL,Sint Maarten (Dutch part),SXM,1300000.00,1271000.00,1436000.00,1600000.00,1823000.00,1956000.00,1890000.00,1891000.00,1821000.00,1655000.00,1956000.00,2080000.00,2210000.00,2253000.00,2502000.00,2407000.00,2197000.00,1640000.00,1775000.00,1952000.00,,37615000.00,Null
ST.INT.ARVL,Slovak Republic,SVK,,,,,,,,,,,,,,12583000.00,11556000.00,14936000.00,17376000.00,15406000.00,15299000.00,,,87156000.00,Null
ST.INT.ARVL,Slovenia,SVN,1090000.00,1219000.00,1302000.00,1373000.00,1499000.00,1555000.00,1617000.00,1751000.00,1958000.00,1824000.00,2049000.00,2236000.00,2377000.00,2502000.00,2675000.00,3022000.00,3397000.00,3991000.00,4425000.00,4702000.00,1216000.00,47780000.00,Europe
ST.INT.ARVL,Solomon Islands,SLB,5200.00,,,6600.00,5600.00,9400.00,11500.00,13700.00,16300.00,18300.00,20500.00,22900.00,23900.00,24400.00,20100.00,21600.00,23200.00,25700.00,27900.00,28900.00,4400.00,330100.00,Oceania
ST.INT.ARVL,Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,,Africa
ST.INT.ARVL,South Africa,ZAF,6001000.00,5908000.00,6550000.00,6640000.00,6815000.00,7518000.00,8509000.00,9208000.00,9729000.00,9532000.00,11303000.00,12097000.00,13069000.00,14318000.00,14530000.00,13952000.00,15121000.00,14975000.00,15004000.00,14797000.00,3886600.10,219462600.10,Africa
ST.INT.ARVL,South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,Africa
ST.INT.ARVL,Spain,ESP,74580000.00,75564000.00,79313000.00,82326000.00,85981000.00,92563000.00,96152000.00,98907000.00,97670000.00,91899000.00,93744000.00,99187000.00,98128000.00,103231000.00,107144000.00,109834000.00,115561000.00,121717000.00,124456000.00,126170000.00,36410000.00,2010537000.00,Europe
ST.INT.ARVL,Sri Lanka,LKA,445000.00,397000.00,457000.00,583000.00,681000.00,669000.00,689000.00,592000.00,526000.00,538000.00,766000.00,976000.00,1133000.00,1415000.00,1665000.00,1993000.00,2168000.00,2248000.00,2521000.00,2027000.00,540000.00,23029000.00,Asia
ST.INT.ARVL,St. Kitts and Nevis,KNA,247000.00,334000.00,240000.00,247000.00,383000.00,365000.00,350000.00,379000.00,533000.00,548000.00,624000.00,723000.00,666000.00,695000.00,818000.00,1036000.00,1055000.00,1194000.00,1278000.00,1107000.00,301399.99,13123399.99,Null
ST.INT.ARVL,St. Lucia,LCA,727000.00,747000.00,648000.00,683000.00,791000.00,720000.00,670000.00,905000.00,925000.00,982000.00,984000.00,950000.00,889000.00,921000.00,987000.00,1031000.00,948000.00,1064000.00,1165000.00,1220000.00,432500.00,18389500.00,Null
ST.INT.ARVL,St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,Null
ST.INT.ARVL,St. Vincent and the Grenadines,VCT,256000.00,254000.00,247000.00,242000.00,262000.00,256000.00,306000.00,328000.00,250000.00,271000.00,231000.00,208000.00,200000.00,200000.00,205000.00,207000.00,227000.00,303000.00,356000.00,392000.00,,5201000.00,Null
ST.INT.ARVL,Sudan,SDN,38000.00,50000.00,52000.00,52000.00,61000.00,246000.00,328000.00,436000.00,440000.00,420000.00,495000.00,536000.00,575000.00,591000.00,684000.00,741000.00,800000.00,813000.00,836000.00,,,8194000.00,Africa
ST.INT.ARVL,Suriname,SUR,72000.00,68000.00,,100000.00,,,154000.00,167000.00,151000.00,151000.00,206000.00,221000.00,240000.00,250000.00,253000.00,229000.00,257000.00,279000.00,,,,2798000.00,South America
ST.INT.ARVL,Sweden,SWE,3828000.00,4108000.00,4276000.00,4268000.00,4676000.00,4883000.00,4729000.00,5224000.00,4555000.00,4899000.00,5183000.00,11567000.00,12372000.00,10980000.00,10522000.00,6482000.00,6782000.00,7054000.00,7440000.00,7616000.00,1957000.00,133401000.00,Europe
ST.INT.ARVL,Switzerland,CHE,7821000.00,7455000.00,6868000.00,6530000.00,,7229000.00,7863000.00,8448000.00,8608000.00,8294000.00,8628000.00,8534000.00,8566000.00,8967000.00,9158000.00,9305000.00,10402000.00,11133000.00,11715000.00,11818000.00,,167342000.00,Europe
ST.INT.ARVL,Syria,SYR,3412000.00,3671000.00,4678000.00,4837000.00,6334000.00,5859000.00,5682000.00,5434000.00,6951000.00,7721000.00,10970000.00,6476000.00,,,,,1043000.00,1291000.00,1802000.00,2424000.00,,78585000.00,Asia
ST.INT.ARVL,Tajikistan,TJK,7700.00,5200.00,,,,,,,325000.00,207000.00,160000.00,183000.00,244000.00,208000.00,213000.00,414000.00,344000.00,431000.00,1035000.00,,,3776900.00,Asia
ST.INT.ARVL,Tanzania,TZA,501000.00,525000.00,575000.00,576000.00,583000.00,613000.00,644000.00,719000.00,770000.00,714000.00,783000.00,868000.00,1077000.00,1096000.00,1140000.00,1137000.00,1284000.00,1327000.00,1506000.00,1527000.00,,17965000.00,Africa
ST.INT.ARVL,Thailand,THA,9579000.00,10133000.00,10873000.00,10082000.00,11737000.00,11567000.00,13822000.00,14464000.00,14584000.00,14150000.00,15936000.00,19230000.00,22354000.00,26547000.00,24810000.00,29923000.00,32530000.00,35592000.00,38178000.00,39916000.00,,406007000.00,Asia
ST.INT.ARVL,Timor-Leste,TLS,,,,,,,14000.00,22000.00,36000.00,44000.00,40000.00,51000.00,58000.00,79000.00,60000.00,61600.00,65600.00,73900.00,74600.00,74800.00,,754500.00,Null
ST.INT.ARVL,Togo,TGO,60000.00,57000.00,58000.00,61000.00,83000.00,81000.00,94000.00,86000.00,74000.00,150000.00,202000.00,300000.00,235000.00,327000.00,282000.00,273000.00,338000.00,514000.00,573000.00,876000.00,482000.00,5206000.00,Africa
ST.INT.ARVL,Tonga,TON,43000.00,38000.00,45000.00,51000.00,51000.00,60000.00,54000.00,65000.00,65000.00,74700.00,65000.00,68400.00,57200.00,59700.00,65800.00,72600.00,86700.00,86600.00,77300.00,94000.00,,1280000.00,Oceania
ST.INT.ARVL,Trinidad and Tobago,TTO,503000.00,468000.00,451000.00,474000.00,501000.00,529000.00,534000.00,531000.00,482000.00,534000.00,490000.00,491000.00,504000.00,467000.00,455000.00,519000.00,492000.00,465000.00,501000.00,480000.00,141000.00,10012000.00,North America
ST.INT.ARVL,Tunisia,TUN,5058000.00,5387000.00,5064000.00,5114000.00,5998000.00,6378000.00,6550000.00,6762000.00,7050000.00,7797000.00,7828000.00,5746000.00,6999000.00,7352000.00,7163000.00,5359000.00,5724000.00,7052000.00,8299000.00,9429000.00,2012000.00,134121000.00,Africa
ST.INT.ARVL,Turkey,TUR,10428000.00,11619000.00,13256000.00,14030000.00,17517000.00,21125000.00,19820000.00,27215000.00,31138000.00,31760000.00,32997000.00,36769000.00,37715000.00,39861000.00,41627000.00,41114000.00,30907000.00,37970000.00,46113000.00,51747000.00,15971000.00,610699000.00,Asia
ST.INT.ARVL,Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,Asia
ST.INT.ARVL,Turks and Caicos Islands,TCA,,,,,,,,,757000.00,865000.00,899000.00,1010000.00,968000.00,1069000.00,1330000.00,1316000.00,1296000.00,1243000.00,1463000.00,1599000.00,370399.99,14185399.99,Null
ST.INT.ARVL,Tuvalu,TUV,1100.00,1100.00,1300.00,1400.00,1300.00,1100.00,1100.00,1100.00,1700.00,1600.00,1700.00,1200.00,1100.00,1300.00,1400.00,2400.00,2500.00,2500.00,3200.00,3600.00,,33700.00,Oceania
ST.INT.ARVL,Uganda,UGA,193000.00,205000.00,254000.00,305000.00,512000.00,468000.00,539000.00,642000.00,844000.00,807000.00,946000.00,1151000.00,1197000.00,1206000.00,1266000.00,1303000.00,1323000.00,1402000.00,1506000.00,1543000.00,473000.00,18085000.00,Africa
