Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_arrivals_sum,continent
ST.INT.ARVL,Bermuda,BMU,539000.00,458000.00,484000.00,483000.00,478000.00,517000.00,635000.00,660000.00,550000.00,554000.00,580000.00,652000.00,610000.00,576000.00,580000.00,597000.00,642000.00,688000.00,766000.00,805000.00,51400.00,11905400.00,Null
ST.INT.ARVL,Bhutan,BTN,7600.00,6400.00,5600.00,6300.00,9200.00,13600.00,17300.00,21000.00,28000.00,23000.00,41000.00,66000.00,105000.00,116000.00,133000.00,155000.00,210000.00,255000.00,274000.00,316000.00,29800.00,1838800.00,Asia
ST.INT.ARVL,Bolivia,BOL,319000.00,316000.00,334000.00,427000.00,480000.00,524000.00,521000.00,573000.00,594000.00,599000.00,679000.00,711000.00,798000.00,798000.00,871000.00,882000.00,961000.00,1109000.00,1142000.00,1239000.00,323299.99,14200299.99,South America
ST.INT.ARVL,Bosnia and Herz.,BIH,171000.00,139000.00,160000.00,165000.00,190000.00,217000.00,256000.00,306000.00,322000.00,311000.00,365000.00,392000.00,439000.00,529000.00,536000.00,678000.00,778000.00,923000.00,1053000.00,1198000.00,197000.00,9325000.00,Europe
ST.INT.ARVL,Botswana,BWA,1306000.00,1451000.00,1485000.00,1592000.00,1727000.00,1684000.00,1642000.00,1965000.00,2344000.00,,,,,,,1660000.00,1712000.00,1775000.00,1830000.00,,,22173000.00,Africa
ST.INT.ARVL,Brazil,BRA,5313000.00,4773000.00,3785000.00,4133000.00,4794000.00,5358000.00,5017000.00,5026000.00,5050000.00,4802000.00,5161000.00,5433000.00,5677000.00,5813000.00,6430000.00,6306000.00,6547000.00,6589000.00,6621000.00,6353000.00,,108981000.00,South America
ST.INT.ARVL,British Virgin Islands,VGB,272000.00,296000.00,282000.00,278000.00,304000.00,337000.00,356000.00,358000.00,346000.00,309000.00,330000.00,338000.00,351000.00,366000.00,386000.00,393000.00,408000.00,335000.00,192000.00,302399.99,83000.00,6622399.99,Null
ST.INT.ARVL,Brunei,BRN,984000.00,840000.00,891000.00,944000.00,,815000.00,836000.00,877000.00,,,,,,,,,4257000.00,4316000.00,4521000.00,4449000.00,1071000.00,24801000.00,Asia
ST.INT.ARVL,Bulgaria,BGR,4922000.00,5104000.00,5563000.00,6241000.00,6982000.00,7282000.00,7499000.00,7726000.00,8533000.00,7873000.00,8374000.00,8713000.00,8867000.00,9192000.00,9409000.00,9317000.00,10604000.00,11596000.00,12368000.00,12552000.00,4973000.00,173690000.00,Europe
ST.INT.ARVL,Burkina Faso,BFA,126000.00,128000.00,150000.00,163000.00,222000.00,245000.00,264000.00,289000.00,272000.00,269000.00,274000.00,238000.00,237000.00,218000.00,191000.00,163000.00,152000.00,143000.00,144000.00,143000.00,67000.00,4098000.00,Null
