Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_departures_sum,continent
ST.INT.DPRT,Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,0,South America
ST.INT.DPRT,Sweden,SWE,,,,,,,,,,,,,,,,,,22121000,19939000,19061000,6081000,67202000,Europe
ST.INT.DPRT,Switzerland,CHE,,,,17548000,,,,,17407000,16522000,15902000,18949000,20293000,20303000,19833000,22086000,21536000,22481000,24572000,19797000,,257229000,Europe
ST.INT.DPRT,Syria,SYR,3863000,3492000,3299000,3997000,4309000,4564000,4042000,4196000,5253000,5215000,6259000,,,,,,,,,,,48489000,Asia
ST.INT.DPRT,Tajikistan,TJK,6400,2700,,,,,,,,,,,15000,15000,19000,16000,22000,31000,31000,,,158100,Asia
ST.INT.DPRT,Tanzania,TZA,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Thailand,THA,1909000,2011000,2250000,2152000,2709000,3047000,3382000,4018000,3908000,4653000,5451000,5397000,5721000,5970000,6444000,6794000,8204000,8963000,9966000,10446000,,103395000,Asia
ST.INT.DPRT,Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Togo,TGO,,,,,,,,,,,,,,,,,191000,216000,236000,269000,,912000,Africa
ST.INT.DPRT,Tonga,TON,,,,,,,,,,,,,,,,,,,,,,0,Oceania
ST.INT.DPRT,Trinidad and Tobago,TTO,,,,,,,,,,270000,273000,,,,,,,,,,,543000,North America
ST.INT.DPRT,Tunisia,TUN,1632000,1669000,1939000,2274000,2312000,2241000,2302000,2743000,3118000,2623000,2250000,2303000,2897000,2873000,2637000,,1830000,,2515000,2781000,739000,43678000,Africa
ST.INT.DPRT,Turkey,TUR,5284000,4856000,5131000,5928000,7299000,8246000,8275000,4956000,4893000,5561000,6557000,6282000,5803000,7526000,7982000,8751000,7892000,8887000,8383000,9651000,2243000,140386000,Asia
ST.INT.DPRT,Turkmenistan,TKM,78000,111000,79000,34000,32000,33000,33000,38000,,,,,,,,,,,,,,438000,Asia
ST.INT.DPRT,Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Tuvalu,TUV,2900,2800,2700,2600,2300,2200,2000,2400,,,,2100,,,,,,,,,,22000,Oceania
ST.INT.DPRT,Uganda,UGA,153000,152000,184000,189000,231000,189000,254000,272000,337000,311000,324000,367000,469000,471000,511000,523000,568000,,,,,5505000,Africa
ST.INT.DPRT,Ukraine,UKR,,,,,,,,17866000,16100000,15961000,17741000,20335000,21755000,23988000,22637000,23336000,25226000,27067000,27977000,29346000,11251000,300586000,Europe
ST.INT.DPRT,United Arab Emirates,ARE,,,,,,,,,,,,,,,,17890000,18728000,18866000,18967000,18906000,6458000,99815000,Asia
ST.INT.DPRT,United Kingdom,GBR,56837000,58281000,59377000,61424000,64194000,66494000,69536000,69450000,69011000,63513000,64647000,67493000,66858000,68959000,72204000,77619000,81757000,87242000,90571000,93086000,23827000,1432380000,Europe
ST.INT.DPRT,United States of America,USA,87973000,84755000,80883000,75880000,79655000,79215000,148511000,140364000,136148000,129954000,121574000,114089000,116329000,118968000,121699000,130364000,141526000,148045000,158445406.3,170930093.8,60549898.44,2445857398,North America
ST.INT.DPRT,Uruguay,URY,667000,531000,530000,495000,569000,658000,666000,635000,734000,826000,1027000,1534000,1816000,2281000,2396000,2217000,1715000,1789000,1947000,2199000,,25232000,South America
ST.INT.DPRT,Uzbekistan,UZB,217000,183000,264000,400000,455000,572000,893000,1248000,1150000,1317000,1610000,,,3117000,2786000,3491000,3848000,5182000,8594000,8437000,,43764000,Asia
ST.INT.DPRT,Vanuatu,VUT,12000,11000,11000,12000,13000,14000,15000,16000,19000,20000,21000,22000,23000,26000,26000,27000,20300,26300,28400,36400,9400,408800,Oceania
ST.INT.DPRT,Venezuela,VEN,954000,933000,881000,832000,816000,1067000,1095000,1410000,1745000,1651000,1477000,1719000,1734000,1931000,1589000,1539000,1530000,1079000,,,,23982000,South America
ST.INT.DPRT,Vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Yemen,YEM,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Zambia,ZMB,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Zimbabwe,ZWE,,,,386000,498000,474000,541000,547000,593000,631000,650000,693000,720000,2946000,3182000,3393000,3192000,2768000,2288000,3275000,,26777000,Africa
