Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_expenditure_sum,continent
ST.INT.XPND.CD,Malta,MLT,224000000.00,204000000.00,180000000.00,238000000.00,291000000.00,311000000.00,362000000.00,284000000.00,,,,,,,,,,,,,,2094000000.00,Europe
ST.INT.XPND.CD,Marshall Islands,MHL,200000.00,300000.01,300000.01,300000.01,400000.01,25500000.00,23100000.38,24299999.24,24500000.00,24549999.24,21989999.77,23799999.24,25500000.00,24700000.76,23799999.24,26200000.76,27000000.00,27600000.38,31399999.62,,,355439998.70,Oceania
ST.INT.XPND.CD,Mauritania,MRT,,,,,,,,,,,,,101000000.00,105000000.00,112000000.00,73000000.00,74000000.00,61000000.00,38000000.00,56000000.00,35000000.00,655000000.00,Africa
ST.INT.XPND.CD,Mauritius,MUS,203000000.00,216000000.00,223000000.00,236000000.00,277000000.00,295000000.00,347000000.00,384000000.00,489000000.00,384000000.00,423000000.00,427000000.00,394000000.00,458000000.00,503000000.00,616000000.00,683000000.00,738000000.00,663000000.00,656000000.00,224000000.00,8839000000.00,Africa
ST.INT.XPND.CD,Mexico,MEX,6365000000.00,6685000000.00,7087000000.00,7252000000.00,8034000000.00,8951000000.00,9387000000.00,9918000000.00,10246000000.00,8737000000.00,9001000000.00,9704000000.00,10735000000.00,11970000000.00,12556000000.00,12668000000.00,12823000000.00,13647000000.00,14074000000.00,12300000000.00,4286000000.00,206000000000.00,North America
ST.INT.XPND.CD,"Micronesia, Fed. Sts.",FSM,5300000.19,5400000.10,5300000.19,5500000.00,6699999.81,6900000.10,7000000.00,7000000.00,7099999.91,26000000.00,28000000.00,27000000.00,30000000.00,29000000.00,29000000.00,,,,,,,225200000.30,Null
ST.INT.XPND.CD,Moldova,MDA,86000000.00,90000000.00,109000000.00,118000000.00,135000000.00,170000000.00,224000000.00,290000000.00,359000000.00,307000000.00,298000000.00,349000000.00,396000000.00,428000000.00,442000000.00,370000000.00,334000000.00,380000000.00,438000000.00,479000000.00,303000000.00,6105000000.00,Europe
ST.INT.XPND.CD,Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,0.00,Europe
ST.INT.XPND.CD,Mongolia,MNG,54000000.00,59000000.00,125000000.00,144000000.00,207000000.00,142000000.00,196000000.00,218000000.00,249000000.00,242000000.00,319000000.00,460000000.00,558000000.00,643000000.00,529000000.00,473000000.00,536000000.00,618000000.00,822000000.00,1036000000.00,573000000.00,8203000000.00,Asia
ST.INT.XPND.CD,Montenegro,MNE,,,,,,,,58000000.00,80000000.00,76000000.00,72000000.00,70000000.00,67000000.00,81000000.00,79000000.00,69000000.00,91000000.00,91000000.00,73000000.00,72000000.00,38000000.00,1017000000.00,Europe
